,이름,주소,위도,경도,단어
403,사항어촌계 낚시터,경상남도 남해군 미조면 미조로 212,34.70905674,128.0482496,"['경상', '경상남도', '남도', '남해', '남해군', '미조', '미조면', '면', '미', '미조로', '조로', '212']"
404,필봉정낚시터,경상남도 김해시 대동면 괴정리 311-3번지,35.26130932,128.9836764,"['경상', '경상남도', '남도', '김해', '김해시', '대동', '대동면', '면', '괴', '괴정리', '정리']"
405,화현낚시터,경상남도 김해시 상동면 감노리 17번지,35.33559343,128.9393673,"['경상', '경상남도', '남도', '김해', '김해시', '상동', '상동면', '면', '감', '감노리', '노리', '17', '17번지', '번지']"
406,아빠와 고래,경상남도 김해시 함박로 121,35.23413498,128.868047,"['경상', '경상남도', '남도', '김해', '김해시', '함박', '121']"
407,다낚아 낚시터,경상남도 김해시 함박로 119번길 17,35.23363583,128.8672616,"['경상', '경상남도', '남도', '김해', '김해시', '함박', '119', '119번길', '번', '길', '17']"
408,대치유료낚시터,"경상남도 하동군 금남면 장환길 104-132, 대치유료낚시터",34.957336,127.897285,"['경상', '경상남도', '남도', '하동', '하동군', '금', '금남', '금남면', '남면', '면', '장', '장환길', '환', '길', '대치', '대치유료낚시터', '유료']"
409,대도유료낚시터,"경상남도 하동군 금남면 대도길 117, 대도복지회관",34.932254,127.832022,"['경상', '경상남도', '남도', '하동', '하동군', '금', '금남', '금남면', '남면', '면', '대도', '대도길', '길', '117', '대도복지회관', '복지', '회관']"
410,송문유료낚시터,경상남도 하동군 금남면 미법마을길 40-5,34.951171,127.855957,"['경상', '경상남도', '남도', '하동', '하동군', '금', '금남', '금남면', '남면', '면', '미', '미법마을길', '법', '마을', '길']"
411,황금빛노을바다 낚시터,경상남도 사천시 사천대로 35,34.93373613,128.0490197,"['경상', '경상남도', '남도', '사천', '사천시', '사천', '35']"
412,황금빛노을바다 낚시터 2호,경상남도 사천시 해안관광로,34.95223985,128.0336695,"['경상', '경상남도', '남도', '사천', '사천시', '해안', '해안관광', '관광']"
413,산분령 유료 낚시터,경상남도 사천시 해안관광로,34.95208657,128.0337571,"['경상', '경상남도', '남도', '사천', '사천시', '해안', '해안관광', '관광']"
414,대포황토펜션 낚시터,경상남도 사천시 대례길,34.99028857,128.0413317,"['경상', '경상남도', '남도', '사천', '사천시', '대례']"
415,저도 유료낚시터,경상남도 사천시 저도길,34.94374921,128.0289693,"['경상', '경상남도', '남도', '사천', '사천시']"
416,새마을낚시터,경상북도 경주시 내남면 내남로 393-20,35.78205433,129.1865307,"['경상', '경상북도', '북도', '경주', '경주시', '내남', '내남면', '면', '내', '내남로', '남로']"
417,삼괴정낚시터,경상북도 경주시 강동면 다산길 117,36.04980649,129.2594352,"['경상', '경상북도', '북도', '경주', '경주시', '강동', '강동면', '면', '다산', '다산길', '길', '117']"
418,동산낚시터,경상북도 경주시 천북면 천강로 123-5,35.90181187,129.275109,"['경상', '경상북도', '북도', '경주', '경주시', '천북', '천북면', '면', '천', '천강', '강']"
419,덕방낚시터,경상북도 경주시 외동읍 덕방지길 19-38,35.70590206,129.297816,"['경상', '경상북도', '북도', '경주', '경주시', '외동', '외동읍', '덕', '덕방지길', '방지', '길']"
420,인동낚시터,경상북도 경주시 강동면 인좌안길 6-1,35.98661005,129.2624603,"['경상', '경상북도', '북도', '경주', '경주시', '강동', '강동면', '면', '인좌']"
421,광지낚시터,경상북도 경주시 건천읍 천포방내길 98-9,35.83813866,129.0986789,"['경상', '경상북도', '북도', '경주', '경주시', '건천', '건천읍', '천포', '천포방내길', '방내', '길']"
422,매전낚시터,경상북도 청도군 매전면 온장길 142,35.637162,128.851936,"['경상', '경상북도', '북도', '청도', '청도군', '매전', '매전면', '면', '온장', '온장길', '길', '142']"
423,구봉낚시터,경상북도 칠곡군 지천면 낙산로5길 144-55,35.94234,128.511751,"['경상', '경상북도', '북도', '칠곡', '칠곡군', '지천', '지천면', '면', '낙산', '5', '5길', '길']"
